requested_depth,horizontal_z24,vertical_z24
-8.25,00000000,00000000
-7.75,0042B2C8,0042B2C8
-4.25,00FFFFFF,00FFFFFF
-3.75,00000000,00000000
-0.25,00000000,00000000
0.25,00400000,00400000
0.50,007FFFBF,007FFFBF
0.75,00BFFF7E,00BFFF7E
1.25,00FFFFFF,00FFFFFF
3.75,00FFFFFF,00FFFFFF
4.25,00000000,00000000
7.75,00000000,00000000
8.25,003FF7E0,003FF7E0
11.75,00FFFFFF,00FFFFFF
12.25,00000000,00000000
15.75,00000000,00000000
16.25,003FEFC0,003FEFC0
16.75,00BFEF3E,00BFEF3E
